Name,Average
Neotoma_cinerea,3.45
Chaetodipus_fallax,3.45
Allactaga_sibirica,3.44
Chionomys_nivalis,3.42
Auliscomys_boliviensis,3.4
Blanfordimys_afghanus,3.4
Geoxus_valdivianus,3.4
Nephelomys_albigularis,3.4
Oxymycterus_delator,3.4
Peromyscus_merriami,3.4
Prometheomys_schaposchnikowi,3.4
Reithrodon_auritus,3.4
Reithrodontomys_brevirostris,3.4
Reithrodontomys_chrysopsis,3.4
Paradipus_ctenodactylus,3.4
Chaetodipus_penicillatus,3.4
Onychomys_arenicola,3.38
Pygeretmus_pumilio,3.35
Caryomys_eva,3.33
Microtus_oregoni,3.32
Oligoryzomys_delticola,3.3
Onychomys_torridus,3.3
Jaculus_jaculus,3.24
Dryomys_nitedula,3.24
Transandinomys_bolivaris,3.23
Arvicola_sapidus,3.21
Neotomodon_alstoni,3.2
Oecomys_auyantepui,3.2
Ctenomys_mendocinus,3.2
Thrichomys_apereoides,3.2
Peromyscus_boylii,3.18
Microcavia_niata,3.16
Microcavia_shiptoni,3.16
Graphiurus_crassicaudatus,3.16
Oecomys_bicolor,3.15
Geomys_bursarius,3.14
Holochilus_sciureus,3.12
Neotoma_floridana,3.11
Reithrodontomys_gracilis,3.11
Graphiurus_nagtglasii,3.11
Myodes_californicus,3.1
Peromyscus_hooperi,3.09
Synaptomys_cooperi,3.09
Geomys_personatus,3.09
Peromyscus_crinitus,3.08
Scotinomys_xerampelinus,3.08
Fukomys_damarensis,3
Fukomys_ochraceocinereus,3
Juliomys_pictipes,3
Microtus_abbreviatus,3
Microtus_multiplex,3
Neodon_irene,3
Cerradomys_maracajuensis,3
Hylaeamys_yunganus,3
Peromyscus_eva,3
Peromyscus_yucatanicus,3
Salinomys_delicatus,3
Sigmodon_ochrognathus,3
Thomasomys_baeops,3
Thomasomys_cinereus,3
Ctenomys_australis,3
Ctenomys_peruanus,3
Ctenomys_rionegrensis,3
Allactaga_tetradactyla,3
Salpingotulus_michaelis,3
Isothrix_sinnamariensis,3
Proechimys_steerei,3
Trinomys_eliasi,3
Graphiurus_murinus,3
Reithrodontomys_humulis,2.99
Castor_fiber,2.95
Oecomys_concolor,2.95
Andinomys_edax,2.91
Arborimus_longicaudus,2.91
Lundomys_molitor,2.91
Microtus_tatricus,2.91
Peromyscus_madrensis,2.91
Peromyscus_melanophrys,2.91
Reithrodontomys_mexicanus,2.91
Tylomys_watsoni,2.91
Chaetodipus_arenarius,2.91
Bathyergus_suillus,2.89
Proechimys_semispinosus,2.84
Neacomys_paracou,2.8
Dicrostonyx_unalascensis,2.79
Neotoma_fuscipes,2.79
Peromyscus_perfulvus,2.79
Proechimys_guairae,2.79
Peromyscus_melanurus,2.75
Arborimus_albipes,2.73
Fukomys_anselli,2.7
Neotoma_lepida,2.7
Rhipidomys_macconnelli,2.7
Rhipidomys_nitela,2.7
Proechimys_cuvieri,2.7
Baiomys_musculus,2.62
Ochrotomys_nuttalli,2.62
Fukomys_mechowi,2.6
Galea_musteloides,2.6
Megadontomys_thomasi,2.6
Podomys_floridanus,2.6
Neotoma_mexicana,2.59
Salpingotus_crassicauda,2.59
Peromyscus_mexicanus,2.56
Geomys_breviceps,2.53
Baiomys_taylori,2.52
Peromyscus_eremicus,2.52
Allactaga_bullata,2.52
Microtus_duodecimcostatus,2.51
Oxymycterus_rufus,2.51
Anomalurus_pelii,2.5
Chinchilla_chinchilla,2.5
Dinaromys_bogdanovi,2.5
Hyperacrius_fertilis,2.5
Hyperacrius_wynnei,2.5
Microtus_savii,2.5
Neotoma_micropus,2.5
Oecomys_rex,2.5
Oecomys_roberti,2.5
Oecomys_rutilus,2.5
Ctenomys_torquatus,2.5
Proechimys_quadruplicatus,2.5
Thrichomys_pachyurus,2.5
Geomys_texensis,2.5
Cryptomys_hottentotus,2.48
Microcavia_australis,2.48
Microtus_pinetorum,2.47
Tylomys_nudicaudus,2.47
Aplodontia_rufa,2.46
Heliophobius_argenteocinereus,2.46
Microtus_subterraneus,2.46
Scotinomys_teguina,2.46
Isthmomys_pirrensis,2.43
Peromyscus_grandis,2.43
Eothenomys_miletus,2.42
Jaculus_orientalis,2.41
Proechimys_hoplomyoides,2.4
Peromyscus_interparietalis,2.39
Peromyscus_stirtoni,2.38
Cratogeomys_castanops,2.34
Microtus_mexicanus,2.33
Neofiber_alleni,2.33
Ellobius_tancrei,2.31
Neodon_sikimensis,2.25
Peromyscus_melanocarpus,2.23
Reithrodontomys_creper,2.21
Ototylomys_phyllotis,2.2
Thomomys_umbrinus,2.2
Abrocoma_cinerea,2.19
Galea_spixii,2.19
Proechimys_guyannensis,2.16
Cavia_aperea,2.14
Neotoma_albigula,2.14
Makalata_didelphoides,2.11
Microtus_transcaspicus,2.1
Dasyprocta_fuliginosa,2.1
Hoplomys_gymnurus,2.1
Microtus_lusitanicus,2.09
Massoutiera_mzabi,2.04
Trinomys_yonenagae,2
Capromys_pilorides,2
Mysateles_prehensilis,2
Arborimus_pomo,2
Calomys_hummelincki,2
Kunsia_tomentosus,2
Neacomys_dubosti,2
Neotoma_magister,2
Neotoma_phenax,2
Nyctomys_sumichrasti,2
Peromyscus_guardia,2
Peromyscus_levipes,2
Peromyscus_megalops,2
Ctenodactylus_gundi,2
Ctenodactylus_vali,2
Ctenomys_opimus,2
Dasyprocta_cristata,2
Dactylomys_boliviensis,2
Proechimys_echinothrix,2
Proechimys_gardneri,2
Proechimys_pattoni,2
Proechimys_simonsi,2
Trinomys_dimidiatus,2
Chaetodipus_pernix,2
Heterocephalus_glaber,11.3
Microtus_kikuchii,1.97
Myoprocta_acouchy,1.97
Dinomys_branickii,1.97
Orthogeomys_hispidus,1.97
Dolichotis_salinicola,1.94
Caryomys_inez,1.94
Chionomys_roberti,1.94
Ichthyomys_tweedii,1.94
Neusticomys_monticolus,1.94
Peromyscus_californicus,1.94
Peromyscus_furvus,1.94
Peromyscus_guatemalensis,1.94
Peromyscus_zarhynchus,1.94
Punomys_lemminus,1.94
Echimys_chrysurus,1.94
Cratogeomys_merriami,1.94
Cratogeomys_fumosus,1.94
Lagostomus_maximus,1.93
Cavia_tschudii,1.9
Habromys_lepturus,1.9
Otonyctomys_hatti,1.9
Geomys_attwateri,1.89
Chinchilla_lanigera,1.87
Myoprocta_pratti,1.77
Mesocapromys_melanurus,1.75
Dolichotis_patagonum,1.75
Geocapromys_brownii,1.73
Osgoodomys_banderanus,1.68
Geomys_pinetis,1.68
Carterodon_sulcidens,1.67
Xenomys_nelsoni,1.6
Lophiomys_imhausi,1.58
Kerodon_rupestris,1.52
Rhipidomys_venustus,1.5
Dasyprocta_prymnolopha,1.5
Melanomys_caliginosus,1.45
Microtus_quasiater,1.4
Dasyprocta_leporina,1.4
Hodomys_alleni,1.39
Trinomys_gratiosus,1.37
Cavia_fulgida,1.34
Neotoma_goldmani,1.29
Dasyprocta_punctata,1.25
Blarinomys_breviceps,1.21
Microtus_oaxacensis,1.2
Diplomys_labilis,1.18
Pectinator_spekei,1.17
Plagiodontia_aedium,1.14
Cavia_intermedia,1.11
Neotoma_stephensi,1.06
Geocapromys_ingrahami,1.04
Cuniculus_paca,1.01
Anomalurus_derbianus,1
Idiurus_zenkeri,1
Mesocapromys_nanus,1
Cavia_magna,1
Lagidium_peruanum,1
Lagidium_viscacia,1
Thomasomys_apeco,1
Felovia_vae,1
Cuniculus_taczanowskii,1
Kannabateomys_amblyonyx,1
Proechimys_kulinae,1
Coendou_bicolor,1
Erethizon_dorsatum,1
Anomalurus_beecrofti,0.98
Coendou_prehensilis,0.98
Idiurus_macrotis,0.97
Anotomys_leander,0.97
Chibchanomys_trichotis,FALSE
Neotoma_chrysomelas,0.97
Rheomys_raptor,0.97
Rheomys_thomasi,0.97
Euryzygomatomys_spinosus,0.97
Isothrix_bistriata,0.97
Mesomys_hispidus,0.97
Trinomys_iheringi,0.97
Pappogeomys_bulleri,0.97
Eothenomys_melanogaster,1.8
Apodemus_chevrieri,6.03
Apodemus_agrarius,5.69
Perognathus_fasciatus,5.48
Liomys_spectabilis,5
